"default_action","category","id","name","artists","album","bpm","key","genres","onlineGenres","playlistNames","reason"
"review","Chinese vocal","451169473","骗自己PT.2","AY楊佬叁 / Noor-99","骗自己","119","","pop","","111","Chinese artist/name; non-instrumental heuristic"
"review","Chinese vocal","1489330795","Here Comes The Gangster","Berlin Psycho Nurses（柏林护士）","Berlin Psycho Nurses","86","E major","pop","Indie Pop","","Chinese artist/name; non-instrumental heuristic"
"review","Chinese vocal","1350460585","我一点都不想你","BigYear大年","我一点都不想你","113","","pop","","er","Chinese artist/name; non-instrumental heuristic"
"review","Chinese vocal","547844389","where the party at.","ELLIOTTSOUND 房鑫杨 / DOLLARZOO","where the party at","113","","pop","","","Chinese artist/name; non-instrumental heuristic"
"review","Chinese vocal","1426089632","24HOURS","ODE / 李恩泽","24HOURS","114","","nu_disco; pop","","disco/syth pop","Chinese artist/name; non-instrumental heuristic"
"review","Chinese vocal","1890541225","ALDEBARAN","STOLEN秘密行动","ALDEBARAN","119","","pop","","","Chinese artist/name; non-instrumental heuristic"
"review","Chinese vocal","443205153","MAKJ - 假人挑战Black Beatles&How We Party - MAKJ, R3hab & Vinai, Rae Sremmurd","Yellow / MixZero音乐厂牌","Music 4 Food","116","","pop","","","Chinese artist/name; non-instrumental heuristic"
"review","Chinese vocal","473404348","I Wanna(我想)(Live)","余佳运","Jiayun's Live Recording","110","","pop","","","Chinese artist/name; non-instrumental heuristic"
"review","Chinese vocal","420401511","和你","余佳运","幸福三部曲","152","C major","pop; rnb_soul","R&B","","Chinese artist/name; non-instrumental heuristic"
"review","Chinese vocal","29723022","暗里着迷 (Live)","刘德华","Wonderful World 香港演唱会 2007","111","","pop; latin_world","","111","Chinese artist/name; non-instrumental heuristic"
"review","Chinese vocal","110359","练习(Live)","刘德华","你是我的骄傲演唱会","113","","pop","","111","Chinese artist/name; non-instrumental heuristic"
"review","Chinese vocal","5239275","我的大同","唐荭菲","高晓松自选辑","117","","pop","","Call it a night","Chinese artist/name; non-instrumental heuristic"
"review","Chinese vocal","454954048","需要保密的情话","安全着陆 / DaisyCream","安全着陆","119","","pop","","111","Chinese artist/name; non-instrumental heuristic"
"review","Chinese vocal","27646205","安和桥","宋冬野","安和桥北","116","","pop","","111","Chinese artist/name; non-instrumental heuristic"
"review","Chinese vocal","35566793","还好你在","左颜","还好你在","113","","pop","","","Chinese artist/name; non-instrumental heuristic"
"review","Chinese vocal","1352818739","Don't You","布朗尼","Julie","115","","pop","","Call it a night","Chinese artist/name; non-instrumental heuristic"
"review","Chinese vocal","4875626","情非得已","庾澄庆","遇见100%幸福1 烈爱红盘","118","","pop","","111","Chinese artist/name; non-instrumental heuristic"
"review","Chinese vocal","28442688","暴风一族(Remix Version)","张国荣","传奇 (Dance & Remix)","122","","nu_disco; electronica; edm; pop","","disco/syth pop","Chinese artist/name; non-instrumental heuristic"
"review","Chinese vocal","188326","继续跳舞(Body Mix)","张国荣","Leslie Collection","119","","nu_disco; pop","","disco/syth pop","Chinese artist/name; non-instrumental heuristic"
"review","Chinese vocal","192316","天梯(Live)","张智霖","张智霖我系外星人演唱会","117","","pop","","111","Chinese artist/name; non-instrumental heuristic"
"review","Chinese vocal","4877815","美丽时光","张艺","美丽时光","118","","pop","","","Chinese artist/name; non-instrumental heuristic"
"review","Chinese vocal","316678","寒舍","杨千嬅","Simply Me","112","G major","pop","","111","Chinese artist/name; non-instrumental heuristic"
"review","Chinese vocal","317251","少女的祈祷(Live)","杨千嬅","万紫千红演唱会2002","113","","pop","","111","Chinese artist/name; non-instrumental heuristic"
"review","Chinese vocal","480580003","再也没有","永彬Ryan.B / AY楊佬叁","再也没有","113","","pop","","111","Chinese artist/name; non-instrumental heuristic"
"review","Chinese vocal","864100958","小鹿乱撞","永彬Ryan.B / 狄迪（D-DAY）","小鹿乱撞","115","","pop","","er","Chinese artist/name; non-instrumental heuristic"
"review","Chinese vocal","33715371","习惯失恋","洪卓立","热门华语271","117","","pop","","111","Chinese artist/name; non-instrumental heuristic"
"review","Chinese vocal","5251677","Traveler\\\'s Diary","深绿海","芳草莲檬","90","","downtempo","","Chill Bar Playlist","Chinese artist/name; non-instrumental heuristic"
"review","Chinese vocal","2614655132","呼唤爱人feat.Bokai","王忆灵","枯萎颂（Ode to Wither）","117","","pop","","","Chinese artist/name; non-instrumental heuristic"
"review","Chinese vocal","1445800253","如何","福禄寿FloruitShow","如何","118","","pop","","SIPLAB Wespace","Chinese artist/name; non-instrumental heuristic"
